ФИО,Телефон,Адрес,Дата рождения,Любимое вино
Игорь Владиславович Сангрианов,+79603885986,"Вологда, ул. Мира, 18, кв. 7",1980-12-29,Wine_232
User_1285,+79392839843,"Челябинск, ул. Малышева, 36, кв. 9",1992-12-08,Wine_324
User_1500,+79898542469,"Брянск, ул. Толстого, 21, кв. 14",1997-02-10,Wine_218
User_439,+79530246076,"Саратов, ул. Гагарина, 92, кв. 22",1997-04-17,Wine_161
User_456,+79607485626,"Смоленск, ул. Романова, 25, кв. 19",1997-01-09,Wine_289
User_1099,+79161147884,"Пенза, пр. Победы, 90, кв. 12",1983-03-01,Wine_788
User_1225,+79005388824,"Ижевск, ул. Азина, 42, кв. 9",1994-07-04,Wine_921
User_1286,+79334075788,"Белгород, пр. Бульварный, 12, кв. 8",1976-02-02,Wine_383
User_903,+79282608186,"Уфа, ул. Ленина, 27, кв. 13",1994-07-04,Wine_870
User_255,+79134785941,"Рязань, ул. Дзержинского, 26, кв. 5",1973-12-11,Wine_534
User_213,+79933068533,"Курск, ул. Ленина, 43, кв. 28",1983-11-19,Wine_851
User_524,+79125370176,"Кострома, ул. Московская, 60, кв. 18",1995-04-25,Wine_592
Борис Иванович Виски,+79005696417,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1977-07-11,Wine_976
User_1451,+79087704294,"Тюмень, ул. Республики, 29, кв. 25",1986-11-21,Wine_446
User_1135,+79485070085,"Новосибирск, ул. Дзержинского, 80, кв. 15",1997-01-09,Wine_96
User_1365,+79670815243,"Нижний Новгород, пр. Гагарина, 89, кв. 17",2002-09-09,Wine_715
User_268,+79689685864,"Тула, пр. Ленина, 33, кв. 14",1995-04-25,Wine_827
User_491,+79250177046,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1999-05-11,Wine_660
User_1356,+79711272812,"Иваново, ул. Интернациональная, 34, кв. 22",1993-04-10,Wine_407
User_1116,+79981184327,"Уфа, ул. Ленина, 27, кв. 13",1983-03-01,Wine_263
User_469,+79321175498,"Омск, ул. Лермонтова, 32, кв. 41",1993-01-13,Wine_143
User_1346,+79709563942,"Тюмень, ул. Республики, 29, кв. 25",2002-03-10,Wine_479
User_1034,+79528468034,"Тверь, ул. Пролетарская, 57, кв. 8",1991-07-15,Wine_184
User_323,+79608004858,"Москва, ул. Арбат, 64, кв. 22",1989-05-05,Wine_126
User_388,+79494567659,"Курск, ул. Ленина, 43, кв. 28",1990-10-22,Wine_558
User_319,+79099185211,"Астрахань, ул. Советская, 75, кв. 9",2000-05-21,Wine_506
User_445,+79967887849,"Пенза, ул. Тихонова, 24, кв. 8",1978-05-15,Wine_187
User_106,+79492124661,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1996-08-28,Wine_340
User_963,+79499324433,"Владимир, ул. Дзержинского, 77, кв. 15",1997-04-17,Wine_983
User_1393,+79694168917,"Челябинск, ул. Кирова, 10, кв. 7",1994-09-19,Wine_591
User_1262,+79015742758,"Астрахань, ул. Советская, 75, кв. 9",1990-08-04,Wine_682
User_407,+79377629271,"Тольятти, ул. Ворошилова, 29, кв. 13",1998-05-16,Wine_469
User_1374,+79401582194,"Брянск, ул. Толстого, 21, кв. 14",1979-11-16,Wine_155
User_794,+79236690400,"Архангельск, ул. Северная, 11, кв. 19",1990-06-29,Wine_560
User_124,+79964807420,"Ульяновск, ул. Ленина, 82, кв. 12",2003-02-04,Wine_662
User_1107,+79464713836,"Сочи, ул. Красная, 59, кв. 21",1983-11-19,Wine_942
User_618,+79466122051,"Курск, пр. Октябрьский, 57, кв. 13",1984-07-29,Wine_926
User_365,+79166036240,"Мурманск, пр. Ленина, 52, кв. 5",1990-10-29,Wine_2
User_1327,+79077877309,"Липецк, ул. Звездная, 88, кв. 4",1981-11-06,Wine_908
User_135,+79376805030,"Астрахань, ул. Советская, 75, кв. 9",2000-05-21,Wine_20
User_462,+79113561404,"Иваново, ул. Интернациональная, 34, кв. 22",1993-01-13,Wine_873
User_1340,+79398019669,"Иваново, ул. Мичурина, 24, кв. 22",2003-02-04,Wine_911
User_1334,+79838721342,"Псков, ул. Советская, 34, кв. 7",1990-10-22,Wine_728
User_1130,+79357964238,"Иваново, ул. Интернациональная, 34, кв. 22",1998-05-16,Wine_850
User_1266,+79835771908,"Курск, ул. Ленина, 43, кв. 28",1998-05-16,Wine_940
User_1222,+79199800059,"Курск, пр. Октябрьский, 57, кв. 13",1990-06-29,Wine_175
User_1301,+79462306666,"Барнаул, ул. Советская, 65, кв. 32",1989-02-11,Wine_486
User_754,+79681346523,"Вологда, ул. Победы, 62, кв. 11",1987-02-02,Wine_673
User_621,+79644336537,"Екатеринбург, ул. Ленина, 23, кв. 5",1995-07-18,Wine_272
User_1404,+79183140017,"Иваново, ул. Интернациональная, 34, кв. 22",2002-11-25,Wine_748
User_410,+79370498331,"Архангельск, ул. Пушкина, 88, кв. 13",1997-02-10,Wine_327
User_706,+79966008749,"Брянск, ул. Толстого, 21, кв. 14",1986-11-21,Wine_952
User_863,+79416866895,"Казань, ул. Баумана, 19, кв. 12",1993-09-14,Wine_362
User_328,+79635373243,"Чита, пр. Октябрьский, 81, кв. 14",1990-10-29,Wine_686
User_1231,+79296234630,"Тула, пр. Ленина, 33, кв. 14",1982-03-12,Wine_569
User_436,+79370282489,"Курган, ул. Пушкина, 49, кв. 18",1993-09-14,Wine_330
User_313,+79451397737,"Набережные Челны, пр. Химиков, 9, кв. 3",1993-04-10,Wine_177
User_111,+79710120282,"Саратов, ул. Чернышевского, 54, кв. 16",1998-12-07,Wine_847
User_370,+79577448373,"Нижний Новгород, пр. Гагарина, 89, кв. 17",1992-03-20,Wine_384
User_810,+79785637745,"Красноярск, ул. Мира, 15, кв. 3",1995-04-25,Wine_592
Андрей Анатольевич Шарден,+79854116197,"Махачкала, ул. Гагарина, 24, кв. 5",1972-02-14,Wine_469
User_331,+79420305031,"Кострома, ул. Московская, 60, кв. 18",1997-01-09,Wine_339
User_626,+79463742631,"Череповец, ул. Ленина, 82, кв. 14",1990-10-22,Wine_968
User_654,+79098654047,"Ставрополь, ул. Ленина, 39, кв. 22",1991-03-14,Wine_395
User_346,+79300284187,"Иваново, ул. Мичурина, 24, кв. 22",1989-05-05,Wine_982
User_555,+79712803702,"Воронеж, пр. Мира, 59, кв. 6",1990-09-16,Wine_402
User_1193,+79440139904,"Липецк, ул. Звездная, 88, кв. 4",2000-05-21,Wine_426
User_1375,+79240697903,"Псков, ул. Советская, 34, кв. 7",1984-07-29,Wine_204
User_1188,+79572712140,"Екатеринбург, ул. Ленина, 23, кв. 5",1980-03-23,Wine_366
User_1454,+79877403432,"Псков, ул. Советская, 34, кв. 7",1972-02-14,Wine_516
User_129,+79165654056,"Омск, ул. Челюскинцев, 89, кв. 8",1986-08-16,Wine_767
User_815,+79100448098,"Новосибирск, ул. Красный Проспект, 41, кв. 9",1997-04-17,Wine_698
User_1007,+79102057631,"Волгоград, ул. Сталинградская, 50, кв. 11",1977-07-11,Wine_152
User_1441,+79624113329,"Владимир, ул. Дзержинского, 77, кв. 15",1994-07-04,Wine_208
User_213,+79933068533,"Курск, ул. Ленина, 43, кв. 28",1983-11-19,Wine_148
User_473,+79040136163,"Мурманск, пр. Мира, 50, кв. 22",1990-10-29,Wine_15
User_151,+79380886306,"Пенза, ул. Тихонова, 24, кв. 8",1981-03-21,Wine_60
User_759,+79291492317,"Смоленск, ул. Романова, 25, кв. 19",1993-11-30,Wine_806
User_1136,+79091576628,"Пенза, ул. Ульянова, 17, кв. 21",1993-01-13,Wine_780
User_1491,+79685194198,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1994-05-20,Wine_155
User_1426,+79130972970,"Набережные Челны, пр. Химиков, 10, кв. 12",1991-01-29,Wine_246
User_477,+79730584478,"Екатеринбург, ул. Ленина, 23, кв. 5",1984-06-13,Wine_57
User_766,+79528846097,"Самара, ул. Стара-Загора, 92, кв. 13",1978-05-15,Wine_136
User_1500,+79898542469,"Брянск, ул. Толстого, 21, кв. 14",1997-02-10,Wine_665
User_1382,+79053338355,"Краснодар, ул. Красная, 51, кв. 5",1992-12-08,Wine_950
User_1158,+79098571171,"Архангельск, ул. Пушкина, 88, кв. 13",1983-03-01,Wine_391
User_395,+79514987665,"Челябинск, ул. Малышева, 36, кв. 9",1997-03-23,Wine_37
User_1271,+79590509194,"Омск, ул. Челюскинцев, 89, кв. 8",1990-08-04,Wine_922
User_341,+79894857686,"Ставрополь, ул. Лермонтова, 34, кв. 18",1997-01-09,Wine_697
Алексей Викторович Джинс,+79538144702,"Брянск, пр. Славы, 67, кв. 6",1989-02-11,Wine_782
User_1157,+79244256470,"Белгород, пр. Бульварный, 12, кв. 8",1976-02-02,Wine_395
User_992,+79624670435,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1981-11-06,Wine_976
User_1161,+79858309185,"Уфа, ул. Карла Маркса, 27, кв. 22",1995-04-25,Wine_711
User_337,+79212996799,"Архангельск, ул. Пушкина, 88, кв. 13",1990-08-04,Wine_618
User_1051,+79323249985,"Саратов, ул. Чернышевского, 54, кв. 16",2002-11-25,Wine_155
User_602,+79464428852,"Новосибирск, ул. Сибирская, 78, кв. 21",1994-09-19,Wine_959
User_558,+79988407698,"Архангельск, ул. Северная, 11, кв. 19",1990-10-29,Wine_1
User_1460,+79806356736,"Уфа, ул. Карла Маркса, 27, кв. 22",1999-08-12,Wine_609
User_730,+79656246213,"Барнаул, ул. Ленина, 82, кв. 4",1994-05-20,Wine_960
User_805,+79725285615,"Череповец, ул. Ленина, 82, кв. 14",1981-03-21,Wine_557
User_489,+79491499460,"Воронеж, пр. Мира, 59, кв. 6",1991-03-14,Wine_209
User_406,+79611394840,"Волгоград, ул. Сталинградская, 50, кв. 11",1995-07-10,Wine_462
Роман Викторович Мадера,+79718011259,"Саратов, ул. Чернышевского, 54, кв. 16",1994-05-25,Wine_902
User_799,+79701999208,"Сочи, ул. Красная, 59, кв. 21",1992-03-20,Wine_617
User_651,+79439617732,"Челябинск, ул. Малышева, 36, кв. 9",1981-11-03,Wine_83
User_712,+79224444570,"Красноярск, ул. Мира, 15, кв. 3",1998-05-16,Wine_270
User_395,+79514987665,"Челябинск, ул. Малышева, 36, кв. 9",1997-03-23,Wine_579
User_773,+79597037635,"Пенза, пр. Победы, 90, кв. 12",1998-01-03,Wine_450
User_1198,+79370211830,"Брянск, пр. Славы, 67, кв. 6",1982-03-12,Wine_271
User_1276,+79646678429,"Чита, пр. Октябрьский, 81, кв. 14",1998-12-13,Wine_783
User_775,+79442139219,"Пенза, ул. Тихонова, 24, кв. 8",1991-03-14,Wine_915
User_549,+79197943245,"Тула, ул. Красноармейская, 67, кв. 21",1998-01-03,Wine_859
User_1133,+79693335258,"Ульяновск, пр. Ленинский, 13, кв. 7",1993-11-30,Wine_344
User_1265,+79038651522,"Челябинск, ул. Таганская, 41, кв. 4",1992-08-31,Wine_681
User_772,+79171748743,"Архангельск, ул. Северная, 11, кв. 19",1999-02-13,Wine_785
User_906,+79824419709,"Москва, ул. Арбат, 64, кв. 22",1991-03-14,Wine_979
User_197,+79335540918,"Брянск, пр. Славы, 67, кв. 6",1979-11-16,Wine_648
User_1430,+79698189232,"Белгород, пр. Бульварный, 12, кв. 8",1972-02-14,Wine_602
User_1000,+79009128622,"Мурманск, пр. Мира, 50, кв. 22",1984-07-29,Wine_911
User_483,+79074618473,"Ульяновск, пр. Ленинский, 13, кв. 7",1978-05-15,Wine_803
User_1010,+79645649503,"Владимир, ул. Дзержинского, 77, кв. 15",1977-07-11,Wine_471
User_491,+79250177046,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1999-05-11,Wine_855
User_220,+79537702647,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",2003-02-04,Wine_127
User_1203,+79262418938,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1987-02-02,Wine_544
User_142,+79535606498,"Рязань, ул. Дзержинского, 26, кв. 5",1977-07-11,Wine_143
User_767,+79729740210,"Тюмень, ул. Республики, 29, кв. 25",1993-09-14,Wine_631
User_792,+79191611135,"Курск, пр. Октябрьский, 57, кв. 13",1980-12-29,Wine_856
User_250,+79057108386,"Псков, ул. Советская, 34, кв. 7",1988-07-25,Wine_101
User_805,+79725285615,"Череповец, ул. Ленина, 82, кв. 14",1981-03-21,Wine_764
User_426,+79739464915,"Воронеж, пр. Мира, 59, кв. 6",1980-03-23,Wine_931
User_114,+79477467822,"Краснодар, ул. Красная, 51, кв. 5",1977-07-11,Wine_294
User_1133,+79693335258,"Ульяновск, пр. Ленинский, 13, кв. 7",1993-11-30,Wine_521
Ольга Александровна Ромова,+79182248467,"Тула, пр. Ленина, 33, кв. 14",1984-06-13,Wine_105
User_1147,+79997491204,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1986-08-16,Wine_676
User_758,+79640268444,"Ростов-на-Дону, ул. Пушкинская, 85, кв. 3",2002-11-25,Wine_590
User_169,+79485379000,"Казань, ул. Баумана, 19, кв. 12",1984-06-13,Wine_104
User_1472,+79992221823,"Тверь, ул. Ленина, 67, кв. 17",1993-04-10,Wine_553
User_862,+79856790434,"Белгород, пр. Бульварный, 12, кв. 8",1987-11-06,Wine_540
User_285,+79208875793,"Казань, пр. Победы, 17, кв. 6",1992-08-31,Wine_803
User_834,+79888866620,"Москва, ул. Арбат, 64, кв. 22",1986-06-12,Wine_513
User_110,+79409480769,"Архангельск, ул. Северная, 11, кв. 19",2001-02-04,Wine_165
User_676,+79855272022,"Нижний Новгород, пр. Гагарина, 89, кв. 17",1991-03-08,Wine_873
User_438,+79025436529,"Сочи, ул. Пушкина, 76, кв. 12",1994-05-20,Wine_649
User_1487,+79447287138,"Тверь, ул. Пролетарская, 57, кв. 8",1995-07-10,Wine_513
User_541,+79491665539,"Казань, пр. Победы, 17, кв. 6",1995-07-18,Wine_647
User_768,+79575305126,"Владимир, ул. Дзержинского, 77, кв. 15",2002-03-10,Wine_677
User_1401,+79896452223,"Москва, ул. Арбат, 64, кв. 22",1988-07-25,Wine_288
User_616,+79056393483,"Ставрополь, ул. Ленина, 39, кв. 22",1989-05-05,Wine_446
User_871,+79209357159,"Мурманск, пр. Ленина, 52, кв. 5",2001-12-25,Wine_577
User_1497,+79821989266,"Архангельск, ул. Пушкина, 88, кв. 13",1983-03-01,Wine_792
User_205,+79542331180,"Челябинск, ул. Кирова, 10, кв. 7",1993-11-30,Wine_740
User_361,+79667139951,"Ярославль, ул. Волковская, 35, кв. 20",1993-11-30,Wine_844
User_141,+79526742375,"Нижний Новгород, пр. Гагарина, 89, кв. 17",1999-05-11,Wine_115
User_1484,+79749039524,"Екатеринбург, ул. Ленина, 23, кв. 5",2000-05-21,Wine_868
User_709,+79590352352,"Казань, ул. Баумана, 19, кв. 12",1999-08-12,Wine_688
User_1406,+79800250060,"Омск, ул. Лермонтова, 32, кв. 41",1980-12-29,Wine_9
User_1053,+79677790563,"Белгород, пр. Бульварный, 12, кв. 8",1994-07-04,Wine_491
User_833,+79353921240,"Псков, ул. Советская, 34, кв. 7",1993-11-30,Wine_170
User_1382,+79053338355,"Краснодар, ул. Красная, 51, кв. 5",1992-12-08,Wine_598
User_96,+79705710905,"Пермь, ул. Куйбышева, 98, кв. 10",1994-05-25,Wine_127
User_722,+79818583990,"Псков, ул. Советская, 34, кв. 7",1994-07-04,Wine_610
User_247,+79132715849,"Махачкала, ул. Гагарина, 24, кв. 5",1977-07-11,Wine_636
User_1440,+79815298856,"Тула, пр. Ленина, 33, кв. 14",1981-11-03,Wine_614
User_1452,+79610360859,"Санкт-Петербург, пр. Невский, 45, кв. 19",1997-04-17,Wine_876
User_342,+79344273613,"Новосибирск, ул. Красный Проспект, 41, кв. 9",1972-02-14,Wine_750
User_261,+79633069835,"Мурманск, пр. Мира, 50, кв. 22",1989-05-05,Wine_274
Степан Евгеньевич Вермутов,+79888604053,"Новосибирск, ул. Красный Проспект, 41, кв. 9",1986-11-21,Wine_5
User_921,+79974495897,"Тверь, ул. Ленина, 67, кв. 17",1986-06-12,Wine_437
User_1463,+79515897620,"Тольятти, ул. Ворошилова, 29, кв. 13",1981-03-21,Wine_314
User_956,+79469339032,"Казань, пр. Победы, 17, кв. 6",1987-11-06,Wine_535
User_1316,+79344955054,"Ростов-на-Дону, пр. Стачки, 64, кв. 14",,Wine_339
User_1293,+79628346765,"Москва, ул. Арбат, 64, кв. 22",1989-02-11,Wine_984
User_194,+79977575793,"Омск, ул. Лермонтова, 32, кв. 41",1979-11-16,Wine_178
User_1056,+79240205134,"Саранск, ул. Гагарина, 23, кв. 5",1986-06-12,Wine_945
User_367,+79041283693,"Воронеж, ул. Свердлова, 59, кв. 3",1997-02-10,Wine_519
User_309,+79478765577,"Вологда, ул. Победы, 62, кв. 11",1991-01-29,Wine_419
User_474,+79352185045,"Сочи, ул. Красная, 59, кв. 21",2002-09-09,Wine_942
User_1253,+79788531760,"Уфа, ул. Карла Маркса, 27, кв. 22",1994-09-19,Wine_7
User_356,+79302783325,"Пенза, ул. Ульянова, 17, кв. 21",1994-07-04,Wine_175
User_496,+79106664315,"Рязань, ул. Дзержинского, 26, кв. 5",1999-06-06,Wine_705
User_522,+79808957064,"Саранск, ул. Советская, 46, кв. 9",1987-02-02,Wine_397
User_1313,+79274014992,"Волгоград, ул. Сталинградская, 50, кв. 11",1999-05-11,Wine_544
User_444,+79663251803,"Махачкала, ул. Гагарина, 24, кв. 5",2001-02-04,Wine_973
User_557,+79910830359,"Новороссийск, ул. Курортная, 51, кв. 15",1991-03-14,Wine_825
User_467,+79406319126,"Ярославль, ул. Волковская, 35, кв. 20",2003-06-09,Wine_910
User_128,+79555590971,"Сочи, ул. Пушкина, 76, кв. 12",1981-11-06,Wine_863
User_635,+79996353691,"Архангельск, ул. Северная, 11, кв. 19",1995-07-10,Wine_752
User_215,+79988157547,"Уфа, ул. Карла Маркса, 27, кв. 22",1990-06-29,Wine_360
User_383,+79752057817,"Тверь, ул. Пролетарская, 57, кв. 8",1997-04-19,Wine_599
User_257,+79363832593,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1993-09-14,Wine_993
User_673,+79194532491,"Сочи, ул. Красная, 59, кв. 21",1980-12-29,Wine_838
User_980,+79430035609,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1983-03-01,Wine_249
User_189,+79210389150,"Чита, пр. Октябрьский, 81, кв. 14",1995-07-18,Wine_796
User_980,+79430035609,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1983-03-01,Wine_112
User_1059,+79237327595,"Воронеж, ул. Свердлова, 59, кв. 3",1981-11-03,Wine_235
User_461,+79856216703,"Кострома, ул. Московская, 60, кв. 18",1986-08-16,Wine_974
User_1043,+79691777183,"Мурманск, пр. Мира, 50, кв. 22",2000-05-21,Wine_207
User_1051,+79323249985,"Саратов, ул. Чернышевского, 54, кв. 16",2002-11-25,Wine_51
User_1224,+79832302851,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1995-07-10,Wine_138
User_1329,+79086751988,"Владимир, ул. Дзержинского, 77, кв. 15",1998-12-13,Wine_300
User_1183,+79176558006,"Краснодар, ул. Красная, 51, кв. 5",1984-07-29,Wine_781
User_1251,+79941871411,"Красноярск, ул. Мира, 15, кв. 3",1997-04-22,Wine_937
User_490,+79444443708,"Иваново, ул. Пушкина, 76, кв. 19",1997-02-10,Wine_602
User_252,+79089986784,"Мурманск, пр. Ленина, 52, кв. 5",1973-12-11,Wine_942
User_355,+79149188796,"Пенза, пр. Победы, 90, кв. 12",1995-04-25,Wine_285
User_1339,+79473735401,"Самара, ул. Стара-Загора, 92, кв. 13",2002-03-10,Wine_859
User_733,+79107463101,"Казань, ул. Баумана, 56, кв. 12",1991-03-14,Wine_54
User_500,+79454365706,"Брянск, ул. Кольцевая, 33, кв. 11",2000-05-21,Wine_778
User_333,+79813826084,"Саранск, ул. Гагарина, 23, кв. 5",1976-02-02,Wine_952
User_1276,+79646678429,"Чита, пр. Октябрьский, 81, кв. 14",1998-12-13,Wine_191
User_1352,+79325446241,"Иваново, ул. Мичурина, 24, кв. 22",1980-12-29,Wine_120
User_618,+79466122051,"Курск, пр. Октябрьский, 57, кв. 13",1984-07-29,Wine_4
User_176,+79647796875,"Владимир, ул. Дзержинского, 77, кв. 15",1974-07-24,Wine_218
User_366,+79097197597,"Ульяновск, ул. Ленина, 82, кв. 12",1998-01-03,Wine_537
User_937,+79645153181,"Санкт-Петербург, пр. Невский, 45, кв. 19",1993-11-30,Wine_777
User_738,+79488723934,"Кострома, ул. Московская, 60, кв. 18",1986-08-16,Wine_460
User_205,+79542331180,"Челябинск, ул. Кирова, 10, кв. 7",1993-11-30,Wine_210
User_388,+79494567659,"Курск, ул. Ленина, 43, кв. 28",1990-10-22,Wine_915
User_855,+79556212764,"Москва, ул. Тверская, 12, кв. 34",1980-03-23,Wine_753
User_454,+79393767774,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1990-06-29,Wine_691
User_858,+79453010667,"Череповец, ул. Ленина, 82, кв. 14",1990-10-22,Wine_672
User_1066,+79173575320,"Ульяновск, ул. Ленина, 82, кв. 12",2002-11-25,Wine_229
User_1176,+79344297605,"Краснодар, ул. Красная, 51, кв. 5",1986-08-16,Wine_980
User_1409,+79798839128,"Новосибирск, ул. Красный Проспект, 41, кв. 9",1991-03-08,Wine_394
User_1111,+79045112573,"Тула, ул. Красноармейская, 67, кв. 21",1998-05-16,Wine_843
User_447,+79867882792,"Орел, ул. Горького, 44, кв. 22",1979-11-16,Wine_468
User_1372,+79209022712,"Омск, ул. Лермонтова, 32, кв. 41",1987-02-02,Wine_188
User_421,+79187462378,"Владимир, ул. Дзержинского, 77, кв. 15",1992-08-31,Wine_526
User_1029,+79051223790,"Калининград, ул. Ломоносова, 53, кв. 25",1976-02-02,Wine_563
User_134,+79045607373,"Иваново, ул. Интернациональная, 34, кв. 22",2003-06-09,Wine_877
User_1265,+79038651522,"Челябинск, ул. Таганская, 41, кв. 4",1992-08-31,Wine_752
User_270,+79834739809,"Вологда, ул. Победы, 62, кв. 11",1986-11-21,Wine_537
User_479,+79742327631,"Казань, ул. Баумана, 56, кв. 12",1977-07-11,Wine_629
User_1015,+79681483822,"Белгород, пр. Бульварный, 12, кв. 8",1997-04-22,Wine_858
User_1174,+79575058817,"Калуга, ул. Московская, 87, кв. 16",1991-07-15,Wine_114
User_542,+79448334530,"Ставрополь, ул. Ленина, 39, кв. 22",1976-02-02,Wine_410
User_1323,+79779753116,"Казань, ул. Баумана, 56, кв. 12",1990-08-04,Wine_856
User_127,+79937258163,"Курск, пр. Октябрьский, 57, кв. 13",1998-01-03,Wine_835
User_447,+79867882792,"Орел, ул. Горького, 44, кв. 22",1979-11-16,Wine_271
User_540,+79331026550,"Липецк, ул. Звездная, 88, кв. 4",1995-04-25,Wine_444
User_952,+79145900314,"Кострома, ул. Московская, 60, кв. 18",1989-05-05,Wine_877
User_270,+79834739809,"Вологда, ул. Победы, 62, кв. 11",1986-11-21,Wine_754
User_146,+79960643066,"Рязань, ул. Дзержинского, 26, кв. 5",1994-07-04,Wine_597
User_164,+79453597348,"Ростов-на-Дону, ул. Пушкинская, 85, кв. 3",1993-04-10,Wine_483
User_1121,+79446399915,"Пенза, пр. Победы, 90, кв. 12",1991-01-29,Wine_804
User_480,+79457281617,"Архангельск, ул. Северная, 11, кв. 19",1977-07-11,Wine_748
User_430,+79226629421,"Ростов-на-Дону, ул. Пушкинская, 85, кв. 3",1981-03-21,Wine_273
User_1343,+79408562550,"Мурманск, пр. Ленина, 52, кв. 5",1998-01-03,Wine_678
User_533,+79297237727,"Кемерово, ул. Красная, 93, кв. 32",1990-10-22,Wine_687
User_336,+79039957341,"Брянск, пр. Славы, 67, кв. 6",1997-04-17,Wine_388
User_366,+79097197597,"Ульяновск, ул. Ленина, 82, кв. 12",1998-01-03,Wine_144
User_922,+79616577530,"Архангельск, ул. Северная, 11, кв. 19",1981-11-06,Wine_801
User_461,+79856216703,"Кострома, ул. Московская, 60, кв. 18",1986-08-16,Wine_358
User_232,+79099142057,"Мурманск, пр. Ленина, 52, кв. 5",1996-08-28,Wine_708
User_1231,+79296234630,"Тула, пр. Ленина, 33, кв. 14",1982-03-12,Wine_397
User_718,+79157462038,"Омск, ул. Лермонтова, 32, кв. 41",1973-12-11,Wine_932
User_400,+79799325682,"Курск, ул. Ленина, 43, кв. 28",2003-09-30,Wine_754
User_96,+79705710905,"Пермь, ул. Куйбышева, 98, кв. 10",1994-05-25,Wine_894
User_1134,+79608211320,"Брянск, пр. Славы, 67, кв. 6",1999-05-11,Wine_650
User_526,+79703473157,"Ульяновск, пр. Ленинский, 13, кв. 7",1983-03-01,Wine_848
User_1117,+79104452808,"Череповец, ул. Ленина, 82, кв. 14",1993-09-14,Wine_564
User_685,+79104089163,"Саратов, ул. Гагарина, 92, кв. 22",1999-05-11,Wine_894
User_571,+79759149570,"Курск, ул. Ленина, 43, кв. 28",1988-11-27,Wine_108
User_693,+79954445065,"Белгород, пр. Бульварный, 12, кв. 8",1997-04-19,Wine_549
User_506,+79891886174,"Пенза, пр. Победы, 90, кв. 12",1997-01-09,Wine_205
User_114,+79477467822,"Краснодар, ул. Красная, 51, кв. 5",1977-07-11,Wine_508
User_1367,+79342875030,"Челябинск, ул. Кирова, 10, кв. 7",1981-11-03,Wine_638
User_1202,+79047144948,"Новороссийск, ул. Курортная, 51, кв. 15",1977-07-11,Wine_979
User_818,+79869055849,"Липецк, ул. Звездная, 88, кв. 4",1995-07-18,Wine_940
User_817,+79666230803,"Ростов-на-Дону, пр. Стачки, 64, кв. 14",1984-09-05,Wine_839
User_506,+79891886174,"Пенза, пр. Победы, 90, кв. 12",1997-01-09,Wine_732
User_616,+79056393483,"Ставрополь, ул. Ленина, 39, кв. 22",1989-05-05,Wine_392
User_840,+79423561644,"Тюмень, ул. Республики, 29, кв. 25",1979-11-16,Wine_960
User_794,+79236690400,"Архангельск, ул. Северная, 11, кв. 19",1990-06-29,Wine_826
User_276,+79661850660,"Саранск, ул. Гагарина, 23, кв. 5",1995-07-18,Wine_519
User_260,+79112384701,"Кемерово, ул. Красная, 93, кв. 32",1991-03-08,Wine_574
User_297,+79168622819,"Ставрополь, ул. Лермонтова, 34, кв. 18",1990-06-29,Wine_420
User_1125,+79980575463,"Уфа, ул. Ленина, 27, кв. 13",1993-09-14,Wine_957
User_321,+79120685583,"Волгоград, ул. Красноармейская, 81, кв. 6",1999-06-06,Wine_908
User_1284,+79130149396,"Сочи, ул. Пушкина, 76, кв. 12",1991-01-29,Wine_196
User_1357,+79308735715,"Набережные Челны, пр. Химиков, 9, кв. 3",1992-12-08,Wine_294
User_1130,+79357964238,"Иваново, ул. Интернациональная, 34, кв. 22",1998-05-16,Wine_152
User_724,+79566773085,"Саратов, ул. Гагарина, 92, кв. 22",1980-03-23,Wine_538
User_381,+79897753049,"Саратов, ул. Гагарина, 92, кв. 22",1983-03-01,Wine_594
User_856,+79216757169,"Кострома, ул. Московская, 60, кв. 18",1999-02-13,Wine_558
User_767,+79729740210,"Тюмень, ул. Республики, 29, кв. 25",1993-09-14,Wine_374
User_632,+79351225382,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1983-11-19,Wine_756
User_715,+79265135349,"Пенза, пр. Победы, 90, кв. 12",1990-10-29,Wine_194
User_1267,+79054414149,"Оренбург, ул. Карла Маркса, 84, кв. 16",1999-02-13,Wine_419
User_677,+79965397688,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",,Wine_417
User_595,+79184309221,"Саранск, ул. Гагарина, 23, кв. 5",1991-03-08,Wine_404
User_1087,+79983848338,"Ростов-на-Дону, пр. Стачки, 64, кв. 14",1980-12-29,Wine_598
